"","ID","Title","study period","country","Species (English name)","Species (scientific name)","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes","...29","...30"
"56",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","NA",27,"1","0.04","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"57",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"58",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"59",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","NA",21,"6","0.28999999999999998","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"60",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","NA",63,"28","0.44","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"61",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","NA",27,"9","0.33","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"62",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"63",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"64",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","blood","NA",21,"9","0.43","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"65",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","blood","NA",63,"37","0.59","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"66",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","blood","NA",27,"15","0.56000000000000005","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"67",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"68",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","Dieldrin","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"69",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",21,"2","0.1","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"70",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",63,"11","0.17","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"71",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",27,"4","0.15","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"72",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"73",148,"Dramatic declines of DDE and o","2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"74",148,"Dramatic declines of DDE and o","1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",21,"4","0.19","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"75",148,"Dramatic declines of DDE and o","1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",63,"18","0.28999999999999998","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"76",148,"Dramatic declines of DDE and o","1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",27,"7","0.26","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
"77",148,"Dramatic declines of DDE and o","1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","none","none",NA,NA,NA
