C,publication year,study period,country,scientific name,English name,subject type,toxicant group,toxicant specific,sample type,group,sample size,no. exposed,"OR if given, proportion exposed",Age Class,Sex,concentration level estimate type,concentration (ND for non-detects),Detection limit (if reported),SD of concentration,minimum,maximum,unit of measure,wet/dry weight?,sublethal effects assessed?,sublethal type,sublethal specific,Notes,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,As,kidney,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.900 ,NA, 0.821,0.0421,2.87,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,As,muscle,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.553 ,NA, 0.390,0.0288,1.19,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,As,lungs,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.870 ,NA, 0.805,0.0172,2.21,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,As,brain,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.342 ,NA, 0.267,0.0177,0.898,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,As,liver,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.113 ,NA, 0.131,0.0183,0.501,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,As,kidney,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.199 ,NA, 0.137,0.0972,0.599,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,As,muscle,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.164 ,NA, 0.154,0.0811,0.646,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,As,lungs,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.198 ,NA, 0.137,0.0973,0.593,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,As,liver,NA,11,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0711 ,NA, 0.0779,ND,0.26,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,As,kidney,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0769 ,NA, 0.0625,0.0125,0.201,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,As,muscle,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.103 ,NA, 0.131,ND,0.329,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,As,lungs,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.0625 ,NA, 0.0949,0.00219,0.325,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,As,liver,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.507,NA,,ND,0.708,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,As,kidney,NA,3,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.418 ,NA, 0.492,ND,0.979,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,As,muscle,NA,2,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.138,NA,,ND,0.266,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,As,lungs,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.170 ,NA, 0.314,0.00945,0.731,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,As,liver,NA,6,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.264 ,NA, 0.408,ND,0.978,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,As,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.242 ,NA, 0.363,0.00631,0.899,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,As,muscle,NA,4,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.159 ,NA, 0.231,ND,0.497,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,As,lungs,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,0.122 ,NA, 0.193,0.0212,0.543,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,Se,liver,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,7.28 ,NA, 7.79,2.06,26.5,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,Se,kidney,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,10.3 ,NA, 10.4,3,39.1,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,Se,muscle,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.58 ,NA, 0.870,0.797,3.95,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,Se,lungs,NA,14,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,3.71 ,NA, 3.04,1.37,3.04,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Milvus migrans,Black Kite,wild,heavy metals,Se,brain,NA,8,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.78 ,NA, 1.02,0.785,3.73,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,Se,liver,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,3.64 ,NA, 1.52,2.45,7.39,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,Se,kidney,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,6.50 ,NA, 3.87,4.13,17.7,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,Se,muscle,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.34 ,NA, 0.429,0.903,2.38,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gentilis,Northern Goshawk,wild,heavy metals,Se,lungs,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,2.89 ,NA, 0.958,1.98,5.49,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,Se,liver,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,6.77 ,NA, 4.05,2.38,16.4,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,Se,kidney,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,6.08 ,NA, 3.08,2.69,13.5,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,Se,muscle,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.39 ,NA, 0.493,0.731,2.32,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Strix uralensis,Ural Owl,wild,heavy metals,Se,lungs,NA,12,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,3.15 ,NA, 1.24,1.81,6.25,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,Se,liver,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,4.22 ,NA, 1.13,2.91,5.89,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,Se,kidney,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,4.78 ,NA, 1.41,3.15,6.9,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,Se,muscle,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.20 ,NA, 0.202,0.88,1.4,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Accipiter gularis,Japanese Sparrowhawk,wild,heavy metals,Se,lungs,NA,5,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,2.25 ,NA, 0.609,1.8,3.3,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,Se,liver,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,10.7 ,NA, 5.66,2.53,16.3,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,Se,kidney,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,9.86 ,NA, 4.77,2.89,15.4,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,Se,muscle,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,1.99 ,NA, 1.16,0.581,3.52,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Horai et al. 2007,2007,2001-2002,Japan,Ninox scutulata,Brown Hawk-owl,wild,heavy metals,Se,lungs,NA,7,NA,NA,unknown/mixed,unknown/mixed,arithmetic mean,8.00 ,NA, 5.11,2.17,14.4,?g/g,dry,no,,,,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TBPH,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,"p,p?-DDE",blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,4.8,0.02,NA,13.33,0.64,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,HCB,blood,NA,6,NA,0.16,adult,unknown/mixed,arithmetic mean,ND,0.02,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TN,blood,NA,6,NA,0.33,adult,unknown/mixed,arithmetic mean,ND,0.01,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TBB,blood,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TBPH,blood,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 100,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.01,0.01,NA,0.03,0.01,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,"p,p?-DDE",tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,25.78,0.05,NA,54.59,7.52,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 99,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.31,0.01,NA,0.71,0.05,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 154,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.01,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 153,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.2,0.01,NA,0.47,0.1,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 183,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.01,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 28,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.01,NA,NA,NA,ng g?1,dry,No,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,"p,p?-DDT",blood,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.02,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BTBPE,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 47,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.25,0.01,NA,1.1,0.1,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TBB,tail feathers/tertials,NA,6,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,TN,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.08,0.02,NA,0.11,0.03,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,HCB,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.09,0.02,NA,0.48,0.03,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BTBPE,blood,NA,6,NA,0.16,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,Sum of all PDBEs,blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,1.61,3*SD of procedural blank,NA,,0.33,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 183,blood,NA,6,NA,0.33,adult,unknown/mixed,arithmetic mean,ND,0.004,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 153,blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.17,0.004,NA,,0.06,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 154,blood,NA,6,NA,0.33,adult,unknown/mixed,arithmetic mean,ND,0.004,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 99,blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.47,0.002,NA,,0.03,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 100,blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.37,0.002,NA,,0.03,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 47,blood,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,0.63,0.002,NA,1.33,0.09,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,BDE 28,blood,NA,6,NA,0.16,adult,unknown/mixed,arithmetic mean,ND,0.002,NA,NA,NA,ng g?1,wet,No,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,unknown,"p,p?-DDT",tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,10.68,0.05,NA,18.65,3.9,ng g?1,NA,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Athene brama,Spotted Owlet,wild,flame retardants,Sum of all PDBEs,tail feathers/tertials,NA,6,6,NA,adult,unknown/mixed,arithmetic mean,1.88,3*SD of procedural blank,NA,7.88,0.3,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,TBB,blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,"p,p?-DDT",tail feathers/tertials,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,4.97,0.05,NA,1.94,12.05,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 47,blood,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.53,0.002,NA,0.02,1,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 100,blood,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.03,0.002,NA,0.01,1.25,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 99,blood,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.11,0.002,NA,0.02,1.25,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 28,tail feathers/tertials,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.07,0.01,NA,0.01,0.09,ng g?1,dry,No,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,HCB,tail feathers/tertials,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.13,0.02,NA,0.08,0.19,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,TN,blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.01,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,"p,p?-DDE",tail feathers/tertials,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,5.57,0.05,NA,2.43,16.68,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,TBPH,blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BTBPE,blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,Sum of all PDBEs,blood,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,1.17,3*SD of procedural blank,NA,0.1,4.25,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 183,blood,NA,8,NA,0.37,adult,unknown/mixed,arithmetic mean,ND,0.004,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 153,blood,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.03,0.004,NA,0.01,0.75,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 154,blood,NA,8,NA,0.12,adult,unknown/mixed,arithmetic mean,ND,0.004,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,HCB,blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.02,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,"p,p?-DDT",blood,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,0.02,NA,NA,NA,ng g?1,wet,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,flame retardants,BDE 47,tail feathers/tertials,NA,8,8,NA,adult,unknown/mixed,arithmetic mean,0.74,0.01,NA,0.19,1.14,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
Abbasi et al. 2017,2017,0,Pakistan,Milvus migrans,Black Kite,wild,unknown,TBB,tail feathers/tertials,NA,8,NA,0,adult,unknown/mixed,arithmetic mean,ND,3*SD of procedural blank,NA,NA,NA,ng g?1,dry,no,NA,NA,Assumed to be arithmetic mean (not listed). No year provided,,,,,,,,,,,,,,,,
